Round,Train_Loss,NDCG@10,Hit@10,Precision@10,Recall@10,MSE,MAE,Accuracy,Num_Clients,Total_Samples,Training_Time_MS,Battery_Drain
0,1.0370102800724106,0.0,0.0,0.0,0.0,1.0363101971409518,1.0174406413106594,0.0,1,10,,0.0
1,1.0370102800724106,0.0,0.0,0.0,0.0,1.0363101971409516,1.0174406413106591,0.0,1,10,,0.0
2,1.0370102800724106,0.0,0.0,0.0,0.0,1.0363101971409516,1.0174406413106594,0.0,1,10,,0.0
3,1.0370102800724106,0.0,0.0,0.0,0.0,1.0363101971409518,1.0174406413106594,0.0,1,10,,0.0
4,1.0370102800724106,0.0,0.0,0.0,0.0,1.0363101971409516,1.0174406413106594,0.0,1,10,,0.0
5,1.0370102800724106,0.0,0.0,0.0,0.0,1.0363101971409518,1.0174406413106591,0.0,1,10,,0.0
6,1.0370102800724106,0.0,0.0,0.0,0.0,1.0363101971409518,1.0174406413106591,0.0,1,10,,0.0
7,1.0370102800724106,0.0,0.0,0.0,0.0,1.0363101971409518,1.0174406413106591,0.0,1,10,,0.0
8,1.0370102800724106,0.0,0.0,0.0,0.0,1.0363101971409516,1.0174406413106591,0.0,1,10,,0.0
9,1.0370102800724106,0.0,0.0,0.0,0.0,1.0363101971409518,1.017440641310659,0.0,1,10,,0.0
FINAL,,,,,,,,,,,,
