Round,Train_Loss,NDCG@10,Hit@10,Precision@10,Recall@10,MSE,MAE,Accuracy,Num_Clients,Total_Samples
1,38926.99427366538,0.06374491595308235,0.08,0.008,0.004249123957626465,26.375113110351563,4.220085405731202,0.02905,100,80000
2,40128.30578005153,0.03945377678362834,0.06,0.006000000000000001,0.004083083725574099,62.716260473632815,6.321048425292969,0.03075,100,80000
3,41214.59245728487,0.04868924895697962,0.06,0.006000000000000001,0.00388033141888711,125.05573706054687,8.895045043945313,0.03105,100,80000
4,42719.896560670975,0.015772317626613484,0.03,0.0030000000000000005,0.0035703812316715544,209.1782444824219,11.522130824279785,0.03055,100,80000
5,44007.41496950052,0.03334017190507297,0.07,0.006999999999999999,0.0017774020232471815,316.56526005859376,14.13473138885498,0.03025,100,80000
6,45149.15675270714,0.03586857081638172,0.05,0.005,0.0025029629159789633,442.2032946777344,16.710736526489256,0.03055,100,80000
7,46578.46535418702,0.06074253940690786,0.07,0.008,0.0035381053055471654,599.8621064453125,19.436545849609374,0.0313,100,80000
8,48025.67010041136,0.07201158094418447,0.07,0.007000000000000001,0.0028555656230074833,779.1307208007812,22.228376916503905,0.0315,100,80000
9,49150.71574357201,0.041528677321744985,0.04,0.004,0.001337293197758314,986.3853619140625,25.005011682128906,0.03175,100,80000
10,50178.772301608595,0.05019921007339603,0.04,0.005,0.0017210141279908721,1207.3490638671874,27.664979122924805,0.0315,100,80000
FINAL,,0.05019921007339603,0.04,0.005,0.0017210141279908721,1207.3490638671874,27.664979122924805,0.0315,,
