Round,Train_Loss,NDCG@10,Hit@10,Precision@10,Recall@10,MSE,MAE
1,32.46484567453981,0.07062999616437177,0.1,0.01,0.004255373351798951,13.70007797088623,3.521318423843384
2,32.984528741289346,,,,,13.713029345703125,3.5190051342010498
3,33.73158305571247,,,,,13.760207579040527,3.520247960281372
4,34.126739832006564,,,,,13.82516392211914,3.522406580734253
5,34.842418864136576,0.038458220330608306,0.07,0.007000000000000001,0.0038556439145193927,13.877694001770019,3.5213635154724123
6,35.2034369765747,,,,,13.941607377624512,3.520322141265869
7,36.004213745426235,,,,,14.01173528137207,3.5188413883209226
8,36.656923031942206,,,,,14.06484306640625,3.5142020988464355
9,37.13889551900223,,,,,14.185741499328614,3.517760985183716
10,38.064433839840845,0.06680998371750531,0.06,0.006,0.0017234382593935339,14.309214770507813,3.5198187145233155
FINAL,,0.06680998371750531,0.06,0.006,0.0017234382593935339,14.309214770507813,3.5198187145233155
