Round,Train_Loss,NDCG@10,Hit@10,Precision@10,Recall@10,MSE,MAE,Accuracy,Num_Clients,Total_Samples
1,13.727836395022175,0.05819446033693901,0.1,0.01,0.004524858564786034,13.678602220153808,3.5208754669189455,0.0,100,80000
2,13.724909799366044,0.05819446033693901,0.1,0.01,0.004524858564786034,13.678606712341308,3.5208758518218994,0.0,100,80000
3,13.720095840737423,0.05819446033693901,0.1,0.01,0.004524858564786034,13.678609942626952,3.520876080703735,0.0,100,80000
4,13.72315247857535,0.05819446033693901,0.1,0.01,0.004524858564786034,13.678613876342773,3.5208763797760008,0.0,100,80000
5,13.716922107609387,0.05819446033693901,0.1,0.01,0.004524858564786034,13.678617462158202,3.5208766136169434,0.0,100,80000
6,13.716736556496675,0.05819446033693901,0.1,0.01,0.004524858564786034,13.678620350646973,3.520876741027832,0.0,100,80000
7,13.720183865289647,0.05530381207376014,0.1,0.01,0.004524858564786034,13.678621881103515,3.5208766525268556,0.0,100,80000
8,13.7186474768607,0.05530381207376014,0.1,0.01,0.004524858564786034,13.67862470550537,3.5208768104553223,0.0,100,80000
9,13.727100161614963,0.05530381207376014,0.1,0.01,0.004524858564786034,13.678624696350097,3.5208765384674074,0.0,100,80000
10,13.71960064209233,0.05530381207376014,0.1,0.01,0.004524858564786034,13.678625936889649,3.5208763008117674,0.0,100,80000
FINAL,,0.05530381207376014,0.1,0.01,0.004524858564786034,13.678625936889649,3.5208763008117674,0.0,,
