Round,Train_Loss,NDCG@10,Hit@10,Precision@10,Recall@10,MSE,MAE
1,227.39276497234422,0.05185266953566699,0.06,0.006000000000000001,0.0011885987128906943,13.800793028259278,3.522211731719971
2,235.41270588546533,,,,,14.025225309753418,3.5217144886016847
3,241.86451076223912,,,,,14.380878532409668,3.52511671333313
4,250.65472324378024,,,,,14.879275038146973,3.532377660369873
5,258.0789284126659,0.043454917351544095,0.05,0.005,0.0038039867109634553,15.601707807922363,3.5585600902557375
6,263.62437503811003,,,,,16.389767547607423,3.5958754760742186
7,270.9868775376554,,,,,17.26231935119629,3.630116690826416
8,276.4068795810124,,,,,18.307551095581054,3.6863674404144287
9,286.78034017667227,,,,,19.379044264221193,3.753527548599243
10,292.1784286954096,0.048026363096703564,0.06,0.006,0.003661805222275547,20.81909543457031,3.850083127212524
FINAL,,0.048026363096703564,0.06,0.006,0.003661805222275547,20.81909543457031,3.850083127212524
