Round,Train_Loss,NDCG@10,Hit@10,Precision@10,Recall@10,MSE,MAE
1,13.724946379484079,0.0577968700397596,0.09,0.009,0.0037602713721248985,13.688507598876953,3.5223532188415527
2,13.726856706559197,,,,,13.688492994689941,3.5223507987976075
3,13.72317979983996,,,,,13.688478712463379,3.5223483833312987
4,13.717571462923006,,,,,13.688463998413086,3.5223459789276124
5,13.72191639376251,0.0577968700397596,0.09,0.009,0.0037602713721248985,13.688447169494628,3.522343197631836
6,13.726362222109655,,,,,13.688430990600587,3.5223404735565187
7,13.720272413013747,,,,,13.688412133789063,3.522337431716919
8,13.720481877012725,,,,,13.68839178314209,3.5223342178344725
9,13.719456072630846,,,,,13.688371733093263,3.5223310562133787
10,13.720019055913703,0.057916521733220525,0.09,0.009,0.0037602713721248985,13.688349719238282,3.5223275356292723
FINAL,,0.057916521733220525,0.09,0.009,0.0037602713721248985,13.688349719238282,3.5223275356292723
