Round,Train_Loss,NDCG@10,Hit@10,Precision@10,Recall@10,MSE,MAE,Accuracy,Num_Clients,Total_Samples
1,0.46367318129430807,0.0,0.08,0.008,0.002240313197239193,0.4507430170944364,0.4509384922191138,0.5492468134414832,97,6706
2,0.4684241585107927,0.0,0.06,0.006000000000000001,0.001595151906916613,0.4507414323568068,0.4509455315069417,0.5492468134414832,97,6706
3,0.4706975849528031,0.0,0.04,0.008,0.0013610859728506789,0.45074376481156775,0.45095127896942105,0.5492468134414832,97,6706
4,0.4719573202744622,0.0,0.06,0.008,0.0014608378338928623,0.4507482812274787,0.45095780108508204,0.5492468134414832,97,6706
5,0.4763704327345546,0.0,0.06,0.01,0.0020062472631732593,0.4507509999037618,0.45096745054525683,0.5492468134414832,97,6706
6,0.4673733066272844,0.0,0.08,0.008,0.0022279979263032327,0.4507485800104373,0.45097457381830847,0.5492468134414832,97,6706
7,0.4739746963003365,0.0,0.1,0.01,0.0027080861650121612,0.45074725434235874,0.45097843934873577,0.5492468134414832,97,6706
8,0.47487636073820433,0.0,0.14,0.014000000000000002,0.0034876963599147098,0.4507421903648907,0.45099165597078006,0.5492468134414832,97,6706
9,0.4787405678631876,0.0,0.12,0.012000000000000002,0.0030801907110297507,0.45074208103215296,0.4509958839637518,0.5492468134414832,97,6706
10,0.46736729071438465,0.0,0.04,0.004,0.0007066997518610422,0.4507438939664759,0.45100273649496386,0.5492468134414832,97,6706
FINAL,,0.0,0.04,0.004,0.0007066997518610422,0.4507438939664759,0.45100273649496386,0.5492468134414832,,
