Round,Train_Loss,NDCG@10,Hit@10,Precision@10,Recall@10,MSE,MAE,Accuracy,Num_Clients,Total_Samples
1,0.47193825115015936,0.0,0.08,0.008,0.0010183259698601948,0.4507420846236263,0.450919524819384,0.5492468134414832,97,6706
2,0.46369307148114497,0.0,0.08,0.008,0.0010183259698601948,0.4507420912540387,0.4509195170839029,0.5492468134414832,97,6706
3,0.4726725774049851,0.0,0.08,0.008,0.0010183259698601948,0.4507420945692449,0.45091951155855925,0.5492468134414832,97,6706
4,0.47604910606581147,0.0,0.08,0.008,0.0010183259698601948,0.4507420934641762,0.4509195038230781,0.5492468134414832,97,6706
5,0.47465136953832093,0.0,0.08,0.008,0.0010183259698601948,0.45074209898951983,0.45091950161294064,0.5492468134414832,97,6706
6,0.47459856401472067,0.0,0.08,0.008,0.0010183259698601948,0.45074210340979476,0.4509194982977344,0.5492468134414832,97,6706
7,0.464878450224862,0.0,0.08,0.008,0.0010183259698601948,0.4507421000945886,0.4509194971926657,0.5492468134414832,97,6706
8,0.47220998561211946,0.0,0.08,0.008,0.0010183259698601948,0.45074209567431367,0.4509194982977344,0.5492468134414832,97,6706
9,0.47451479504249316,0.0,0.08,0.008,0.0010183259698601948,0.4507421012687241,0.45091949608759696,0.5492468134414832,97,6706
10,0.46990383228389343,0.0,0.08,0.008,0.0010183259698601948,0.450742106725001,0.4509194971926657,0.5492468134414832,97,6706
FINAL,,0.0,0.08,0.008,0.0010183259698601948,0.450742106725001,0.4509194971926657,0.5492468134414832,,
